id,provinsi,kabupaten,kecamatan,kelurahan,tps,timestamp,pemilih-1,pemilih-2,total-pemilih,total-pengguna,suara-total,suara-sah,suara-tidak-sah,c1-1,c1-2
1513851735174900010597,ACEH,GAYO LUES,RIKIT GAIB,AMPA KOLAK,TPS 1,2019-10-25 05:00:03,70,154,265,229,229,224,5,https://pemilu2019.kpu.go.id/img/c/900/010/900010597/5174-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/010/900010597/5174-1-C1-PPWP-X2.jpg
1513851735175900010598,ACEH,GAYO LUES,RIKIT GAIB,CANE TOA,TPS 1,2019-10-25 05:00:03,69,182,298,253,253,251,2,https://pemilu2019.kpu.go.id/img/c/900/010/900010598/5175-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/010/900010598/5175-1-C1-PPWP-X2.jpg
1513851735183900010608,ACEH,GAYO LUES,RIKIT GAIB,CANE UKEN,TPS 1,2019-10-25 05:00:03,120,83,231,210,210,203,7,https://pemilu2019.kpu.go.id/img/c/900/010/900010608/5183-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/010/900010608/5183-1-C1-PPWP-X2.jpg
1513851735176900010599,ACEH,GAYO LUES,RIKIT GAIB,KOTA RIKIT GAIB,TPS 1,2019-10-25 05:00:03,31,181,262,218,218,212,6,https://pemilu2019.kpu.go.id/img/c/900/010/900010599/5176-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/010/900010599/5176-1-C1-PPWP-X2.jpg
1513851735176900010600,ACEH,GAYO LUES,RIKIT GAIB,KOTA RIKIT GAIB,TPS 2,2019-10-25 05:00:03,13,79,121,94,94,92,2,https://pemilu2019.kpu.go.id/img/c/900/010/900010600/5176-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/010/900010600/5176-2-C1-PPWP-X2.jpg
1513851735179900010603,ACEH,GAYO LUES,RIKIT GAIB,KUNING,TPS 1,2019-10-25 05:00:03,125,45,194,176,176,170,6,https://pemilu2019.kpu.go.id/img/c/900/010/900010603/5179-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/010/900010603/5179-1-C1-PPWP-X2.jpg
1513851735184900010609,ACEH,GAYO LUES,RIKIT GAIB,LUKUP BARU,TPS 1,2019-10-25 05:00:03,82,22,121,105,105,104,1,https://pemilu2019.kpu.go.id/img/c/900/010/900010609/5184-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/010/900010609/5184-1-C1-PPWP-X2.jpg
1513851735181900010606,ACEH,GAYO LUES,RIKIT GAIB,MANGANG,TPS 1,2019-10-25 05:00:03,58,91,180,154,154,149,5,https://pemilu2019.kpu.go.id/img/c/900/010/900010606/5181-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/010/900010606/5181-1-C1-PPWP-X2.jpg
1513851735177900010601,ACEH,GAYO LUES,RIKIT GAIB,PADANG PASIR,TPS 1,2019-10-25 05:00:03,45,153,222,203,203,198,5,https://pemilu2019.kpu.go.id/img/c/900/010/900010601/5177-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/010/900010601/5177-1-C1-PPWP-X2.jpg
1513851735185900010610,ACEH,GAYO LUES,RIKIT GAIB,PENOMON JAYA,TPS 1,2019-10-25 05:00:03,150,57,238,212,212,207,5,https://pemilu2019.kpu.go.id/img/c/900/010/900010610/5185-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/010/900010610/5185-1-C1-PPWP-X2.jpg
1513851735178900010602,ACEH,GAYO LUES,RIKIT GAIB,PINANG RUGUP,TPS 1,2019-10-25 05:00:03,147,80,272,237,237,227,10,https://pemilu2019.kpu.go.id/img/c/900/010/900010602/5178-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/010/900010602/5178-1-C1-PPWP-X2.jpg
1513851735182900010607,ACEH,GAYO LUES,RIKIT GAIB,REMPELAM,TPS 1,2019-10-25 05:00:03,45,97,159,144,144,142,2,https://pemilu2019.kpu.go.id/img/c/900/010/900010607/5182-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/010/900010607/5182-1-C1-PPWP-X2.jpg
1513851735180900010604,ACEH,GAYO LUES,RIKIT GAIB,TUNGEL,TPS 1,2019-10-25 05:00:03,139,105,260,244,244,244,0,https://pemilu2019.kpu.go.id/img/c/900/010/900010604/1-5180-1-C1-PPWP-01.jpg,https://pemilu2019.kpu.go.id/img/c/900/010/900010604/1-5180-1-C1-PPWP-02.jpg
1513851735180900010605,ACEH,GAYO LUES,RIKIT GAIB,TUNGEL,TPS 2,2019-10-25 05:00:03,22,28,54,51,51,50,1,https://pemilu2019.kpu.go.id/img/c/900/010/900010605/5180-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/010/900010605/5180-2-C1-PPWP-X2.jpg
1513851735186900010611,ACEH,GAYO LUES,RIKIT GAIB,TUNGEL BARU,TPS 1,2019-10-25 05:00:03,139,70,239,214,214,209,5,https://pemilu2019.kpu.go.id/img/c/900/010/900010611/5186-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/010/900010611/5186-1-C1-PPWP-X2.jpg
1513851875199900010631,ACEH,GAYO LUES,TERANGUN,BERHUT,TPS 1,2019-10-25 05:00:03,76,69,179,154,154,145,9,https://pemilu2019.kpu.go.id/img/c/900/010/900010631/5199-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/010/900010631/5199-1-C1-PPWP-X2.jpg
1513851875210900010645,ACEH,GAYO LUES,TERANGUN,BLANG KALA,TPS 1,2019-10-25 05:00:03,45,203,275,253,253,248,5,https://pemilu2019.kpu.go.id/img/c/900/010/900010645/5210-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/010/900010645/5210-1-C1-PPWP-X2.jpg
1513851875203900010636,ACEH,GAYO LUES,TERANGUN,BLANG KUNCIR,TPS 1,2019-10-25 05:00:03,66,182,272,254,254,248,6,https://pemilu2019.kpu.go.id/img/c/900/010/900010636/5203-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/010/900010636/5203-1-C1-PPWP-X2.jpg
1513851875192900010619,ACEH,GAYO LUES,TERANGUN,BUKUT,TPS 1,2019-10-25 05:00:03,22,70,114,96,96,92,4,https://pemilu2019.kpu.go.id/img/c/900/010/900010619/5192-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/010/900010619/5192-1-C1-PPWP-X2.jpg
