id,provinsi,kabupaten,kecamatan,kelurahan,tps,timestamp,pemilih-1,pemilih-2,total-pemilih,total-pengguna,suara-total,suara-sah,suara-tidak-sah,c1-1,c1-2
1245225332541900005115,ACEH,PIDIE,GEULUMPANG TIGA,AMUD MESJID,TPS 1,2019-10-25 05:00:03,19,201,279,223,223,220,3,https://pemilu2019.kpu.go.id/img/c/900/005/900005115/1-2541-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005115/1-2541-1-C-XXX-X6.jpg
1245225332545900005121,ACEH,PIDIE,GEULUMPANG TIGA,BALEE,TPS 1,2019-10-25 05:00:03,10,113,155,125,125,123,2,https://pemilu2019.kpu.go.id/img/c/900/005/900005121/1-2545-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005121/1-2545-1-C-XXX-X6.jpg
1245225332545900005122,ACEH,PIDIE,GEULUMPANG TIGA,BALEE,TPS 2,2019-10-25 05:00:03,12,101,147,179,119,101,6,https://pemilu2019.kpu.go.id/img/c/900/005/900005122/2-2545-2-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005122/2-2545-2-C-XXX-X6.jpg
1245225332539900005112,ACEH,PIDIE,GEULUMPANG TIGA,BILI,TPS 1,2019-10-25 05:00:03,5,221,296,234,234,226,8,https://pemilu2019.kpu.go.id/img/c/900/005/900005112/2-2539-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005112/2-2539-1-C-XXX-X6.jpg
1245225332551900005135,ACEH,PIDIE,GEULUMPANG TIGA,BLANG DRANG,TPS 1,2019-10-25 05:00:03,9,151,198,161,161,160,1,https://pemilu2019.kpu.go.id/img/c/900/005/900005135/4-2551-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005135/4-2551-1-C-XXX-X6.jpg
1245225332551900005136,ACEH,PIDIE,GEULUMPANG TIGA,BLANG DRANG,TPS 2,2019-10-25 05:00:03,15,122,178,140,140,137,3,https://pemilu2019.kpu.go.id/img/c/900/005/900005136/1-2551-2-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005136/1-2551-2-C-XXX-X6.jpg
1245225332565900005162,ACEH,PIDIE,GEULUMPANG TIGA,BLANG PUEB,TPS 1,2019-10-25 05:00:03,19,199,234,220,220,218,2,https://pemilu2019.kpu.go.id/img/c/900/005/900005162/1-2565-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005162/1-2565-1-C-XXX-X6.jpg
1245225332564900005161,ACEH,PIDIE,GEULUMPANG TIGA,BLANG TUNONG,TPS 1,2019-10-25 05:00:03,3,241,286,245,245,244,1,https://pemilu2019.kpu.go.id/img/c/900/005/900005161/3-2564-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005161/3-2564-1-C-XXX-X6.jpg
1245225332537900005108,ACEH,PIDIE,GEULUMPANG TIGA,COT BAROH,TPS 1,2019-10-25 05:00:03,10,146,160,160,160,156,4,https://pemilu2019.kpu.go.id/img/c/900/005/900005108/2-2537-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005108/2-2537-1-C-XXX-X6.jpg
1245225332537900005109,ACEH,PIDIE,GEULUMPANG TIGA,COT BAROH,TPS 2,2019-10-25 05:00:03,18,143,165,164,164,161,3,https://pemilu2019.kpu.go.id/img/c/900/005/900005109/2-2537-2-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005109/2-2537-2-C-XXX-X6.jpg
1245225332538900005110,ACEH,PIDIE,GEULUMPANG TIGA,COT TUNONG,TPS 1,2019-10-25 05:00:03,16,134,177,163,163,150,13,https://pemilu2019.kpu.go.id/img/c/900/005/900005110/3-2538-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005110/3-2538-1-C-XXX-X6.jpg
1245225332538900005111,ACEH,PIDIE,GEULUMPANG TIGA,COT TUNONG,TPS 2,2019-10-25 05:00:03,10,112,157,134,134,122,12,https://pemilu2019.kpu.go.id/img/c/900/005/900005111/1-2538-2-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005111/1-2538-2-C-XXX-X6.jpg
1245225332563900005159,ACEH,PIDIE,GEULUMPANG TIGA,DAYAH KAMPONG PISANG,TPS 1,2019-10-25 05:00:03,19,159,222,184,184,178,6,https://pemilu2019.kpu.go.id/img/c/900/005/900005159/2-2563-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005159/2-2563-1-C-XXX-X6.jpg
1245225332563900005160,ACEH,PIDIE,GEULUMPANG TIGA,DAYAH KAMPONG PISANG,TPS 2,2019-10-25 05:00:03,13,155,207,173,173,168,5,https://pemilu2019.kpu.go.id/img/c/900/005/900005160/1-2563-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005160/1-2563-2-C1-PPWP-X2.jpg
1245225332543900005117,ACEH,PIDIE,GEULUMPANG TIGA,DAYAH TANOH,TPS 1,2019-10-25 05:00:03,37,168,261,226,226,223,3,https://pemilu2019.kpu.go.id/img/c/900/005/900005117/1-2543-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005117/1-2543-1-C1-PPWP-X2.jpg
1245225332543900005118,ACEH,PIDIE,GEULUMPANG TIGA,DAYAH TANOH,TPS 2,2019-10-25 05:00:03,31,189,256,226,226,220,6,https://pemilu2019.kpu.go.id/img/c/900/005/900005118/1-2543-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005118/1-2543-2-C1-PPWP-X2.jpg
1245225332556900005146,ACEH,PIDIE,GEULUMPANG TIGA,JURONG PANDE,TPS 1,2019-10-25 05:00:03,12,175,277,193,193,187,6,https://pemilu2019.kpu.go.id/img/c/900/005/900005146/2-2556-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005146/2-2556-1-C-XXX-X6.jpg
1245225332556900005147,ACEH,PIDIE,GEULUMPANG TIGA,JURONG PANDE,TPS 2,2019-10-25 05:00:03,4,214,285,227,227,218,9,https://pemilu2019.kpu.go.id/img/c/900/005/900005147/2556-2-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005147/2556-2-C-XXX-X6.jpg
1245225332554900005142,ACEH,PIDIE,GEULUMPANG TIGA,KAMPONG JEUMPA,TPS 1,2019-10-25 05:00:03,6,129,180,138,138,135,3,https://pemilu2019.kpu.go.id/img/c/900/005/900005142/1-2554-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005142/1-2554-1-C-XXX-X6.jpg
1245225332554900005143,ACEH,PIDIE,GEULUMPANG TIGA,KAMPONG JEUMPA,TPS 2,2019-10-25 05:00:03,13,125,178,141,141,138,3,https://pemilu2019.kpu.go.id/img/c/900/005/900005143/1-2554-2-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005143/1-2554-2-C-XXX-X6.jpg
1245225332553900005139,ACEH,PIDIE,GEULUMPANG TIGA,KAYEE JATOE,TPS 1,2019-10-25 05:00:03,16,134,204,153,153,150,3,https://pemilu2019.kpu.go.id/img/c/900/005/900005139/1-2553-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005139/1-2553-1-C-XXX-X6.jpg
1245225332553900005140,ACEH,PIDIE,GEULUMPANG TIGA,KAYEE JATOE,TPS 2,2019-10-25 05:00:03,17,141,202,161,161,158,3,https://pemilu2019.kpu.go.id/img/c/900/005/900005140/1-2553-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005140/1-2553-2-C1-PPWP-X2.jpg
1245225332553900005141,ACEH,PIDIE,GEULUMPANG TIGA,KAYEE JATOE,TPS 3,2019-10-25 05:00:03,24,142,204,167,167,166,1,https://pemilu2019.kpu.go.id/img/c/900/005/900005141/1-2553-3-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005141/1-2553-3-C1-PPWP-X2.jpg
1245225332546900005123,ACEH,PIDIE,GEULUMPANG TIGA,KEUPULA,TPS 1,2019-10-25 05:00:03,11,132,152,152,152,143,9,https://pemilu2019.kpu.go.id/img/c/900/005/900005123/2-2546-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005123/2-2546-1-C-XXX-X6.jpg
1245225332546900005124,ACEH,PIDIE,GEULUMPANG TIGA,KEUPULA,TPS 2,2019-10-25 05:00:03,9,110,151,122,122,119,3,https://pemilu2019.kpu.go.id/img/c/900/005/900005124/1-2546-2-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005124/1-2546-2-C-XXX-X6.jpg
1245225332562900005157,ACEH,PIDIE,GEULUMPANG TIGA,KEUTAPANG MESJID,TPS 1,2019-10-25 05:00:03,4,124,158,129,129,128,1,https://pemilu2019.kpu.go.id/img/c/900/005/900005157/1-2562-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005157/1-2562-1-C-XXX-X6.jpg
1245225332562900005158,ACEH,PIDIE,GEULUMPANG TIGA,KEUTAPANG MESJID,TPS 2,2019-10-25 05:00:03,4,117,163,125,125,121,4,https://pemilu2019.kpu.go.id/img/c/900/005/900005158/1-2562-2-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005158/1-2562-2-C-XXX-X6.jpg
1245225332535900005105,ACEH,PIDIE,GEULUMPANG TIGA,KRUENG JANGKO,TPS 1,2019-10-25 05:00:03,15,159,217,183,183,174,9,https://pemilu2019.kpu.go.id/img/c/900/005/900005105/2535-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005105/2535-1-C-XXX-X6.jpg
1245225332535900005106,ACEH,PIDIE,GEULUMPANG TIGA,KRUENG JANGKO,TPS 2,2019-10-25 05:00:03,7,128,192,146,146,135,11,https://pemilu2019.kpu.go.id/img/c/900/005/900005106/2535-2-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005106/2535-2-C-XXX-X6.jpg
1245225332536900005107,ACEH,PIDIE,GEULUMPANG TIGA,KRUENG NYONG,TPS 1,2019-10-25 05:00:03,1,110,158,114,114,111,3,https://pemilu2019.kpu.go.id/img/c/900/005/900005107/1-2536-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005107/1-2536-1-C1-PPWP-X2.jpg
1245225332550900005133,ACEH,PIDIE,GEULUMPANG TIGA,KRUET TEUMPEUEN,TPS 1,2019-10-25 05:00:03,30,125,198,156,156,155,1,https://pemilu2019.kpu.go.id/img/c/900/005/900005133/1-2550-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/005/900005133/1-2550-1-C-XXX-X6.jpg
