id,provinsi,kabupaten,kecamatan,kelurahan,tps,timestamp,pemilih-1,pemilih-2,total-pemilih,total-pengguna,suara-total,suara-sah,suara-tidak-sah,c1-1,c1-2
1269613620900001255,ACEH,ACEH TENGGARA,LAWE SUMUR,BERANDANG,TPS 1,2019-10-24 05:00:04,35,121,181,159,159,156,3,https://pemilu2019.kpu.go.id/img/c/900/001/900001255/2-620-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/001/900001255/2-620-1-C1-PPWP-X2.jpg
1269613620900001256,ACEH,ACEH TENGGARA,LAWE SUMUR,BERANDANG,TPS 2,2019-10-24 05:00:04,33,125,186,161,161,138,3,https://pemilu2019.kpu.go.id/img/c/900/001/900001256/1-620-2-C1-PPWP-01.jpg,https://pemilu2019.kpu.go.id/img/c/900/001/900001256/1-620-2-C1-PPWP-X2.jpg
1269613620900001257,ACEH,ACEH TENGGARA,LAWE SUMUR,BERANDANG,TPS 3,2019-10-24 05:00:04,0,0,0,0,0,0,0,https://pemilu2019.kpu.go.id/img/c/900/001/900001257/1-620-3-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/001/900001257/1-620-3-C1-PPWP-X2.jpg
1269613622900001259,ACEH,ACEH TENGGARA,LAWE SUMUR,BUAH PALA,TPS 1,2019-10-24 05:00:04,65,147,275,217,217,212,5,https://pemilu2019.kpu.go.id/img/c/900/001/900001259/2-622-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/001/900001259/2-622-1-C1-PPWP-X2.jpg
1269613622900001260,ACEH,ACEH TENGGARA,LAWE SUMUR,BUAH PALA,TPS 2,2019-10-24 05:00:04,49,134,242,183,183,183,0,https://pemilu2019.kpu.go.id/img/c/900/001/900001260/1-622-2-C1-PPWP-01.jpg,https://pemilu2019.kpu.go.id/img/c/900/001/900001260/1-622-2-C1-PPWP-X2.jpg
1269613615900001248,ACEH,ACEH TENGGARA,LAWE SUMUR,KISAM GABUNGAN,TPS 1,2019-10-24 05:00:04,24,174,204,205,205,198,7,https://pemilu2019.kpu.go.id/img/c/900/001/900001248/1-615-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/001/900001248/1-615-1-C1-PPWP-X2.jpg
1269613615900001249,ACEH,ACEH TENGGARA,LAWE SUMUR,KISAM GABUNGAN,TPS 2,2019-10-24 05:00:04,23,232,286,271,264,255,9,https://pemilu2019.kpu.go.id/img/c/900/001/900001249/1-615-2-C1-PPWP-01.jpg,https://pemilu2019.kpu.go.id/img/c/900/001/900001249/1-615-2-C1-PPWP-X2.jpg
1269613616900001250,ACEH,ACEH TENGGARA,LAWE SUMUR,KISAM KUTE PASIR,TPS 1,2019-10-24 05:00:04,21,204,243,243,236,225,11,https://pemilu2019.kpu.go.id/img/c/900/001/900001250/1-616-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/001/900001250/1-616-1-C1-PPWP-02.jpg
1269613627900001266,ACEH,ACEH TENGGARA,LAWE SUMUR,KISAM KUTE RAMBE,TPS 1,2019-10-24 05:00:04,8,150,179,160,160,158,2,https://pemilu2019.kpu.go.id/img/c/900/001/900001266/1-627-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/001/900001266/1-627-1-C1-PPWP-02.jpg
1269613627900001267,ACEH,ACEH TENGGARA,LAWE SUMUR,KISAM KUTE RAMBE,TPS 2,2019-10-24 05:00:04,17,132,177,152,152,149,3,https://pemilu2019.kpu.go.id/img/c/900/001/900001267/2-627-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/001/900001267/2-627-2-C1-PPWP-X2.jpg
1269613626900001264,ACEH,ACEH TENGGARA,LAWE SUMUR,KISAM LESTARI,TPS 1,2019-10-24 05:00:04,12,134,159,150,150,146,4,https://pemilu2019.kpu.go.id/img/c/900/001/900001264/1-626-1-C1-PPWP-01.jpg,https://pemilu2019.kpu.go.id/img/c/900/001/900001264/1-626-1-C1-PPWP-X2.jpg
1269613626900001265,ACEH,ACEH TENGGARA,LAWE SUMUR,KISAM LESTARI,TPS 2,2019-10-24 05:00:04,11,126,156,142,142,137,5,https://pemilu2019.kpu.go.id/img/c/900/001/900001265/1-626-2-C1-PPWP-01.jpg,https://pemilu2019.kpu.go.id/img/c/900/001/900001265/1-626-2-C1-PPWP-02.jpg
1269613619900001253,ACEH,ACEH TENGGARA,LAWE SUMUR,KUTA LESUNG,TPS 1,2019-10-24 05:00:04,16,106,154,123,123,122,1,https://pemilu2019.kpu.go.id/img/c/900/001/900001253/2-619-1-C1-PPWP-01.jpg,https://pemilu2019.kpu.go.id/img/c/900/001/900001253/2-619-1-C1-PPWP-X2.jpg
1269613619900001254,ACEH,ACEH TENGGARA,LAWE SUMUR,KUTA LESUNG,TPS 2,2019-10-24 05:00:04,12,100,151,118,118,112,6,https://pemilu2019.kpu.go.id/img/c/900/001/900001254/3-619-2-C1-PPWP-01.jpg,https://pemilu2019.kpu.go.id/img/c/900/001/900001254/3-619-2-C1-PPWP-X2.jpg
1269613621900001258,ACEH,ACEH TENGGARA,LAWE SUMUR,KUTE BUNIN,TPS 1,2019-10-24 05:00:04,29,205,255,238,237,234,3,https://pemilu2019.kpu.go.id/img/c/900/001/900001258/1-621-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/001/900001258/1-621-1-C1-PPWP-X2.jpg
1269613624900001262,ACEH,ACEH TENGGARA,LAWE SUMUR,LAWE PASARAN TGK MBELIN,TPS 1,2019-10-24 05:00:04,8,225,233,233,233,233,0,https://pemilu2019.kpu.go.id/img/c/900/001/900001262/1-624-1-C1-PPWP-01.jpg,https://pemilu2019.kpu.go.id/img/c/900/001/900001262/1-624-1-C1-PPWP-X2.jpg
1269613628900001268,ACEH,ACEH TENGGARA,LAWE SUMUR,LAWE POLAK,TPS 1,2019-10-24 05:00:04,27,192,267,267,244,219,25,https://pemilu2019.kpu.go.id/img/c/900/001/900001268/1-628-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/001/900001268/1-628-1-C1-PPWP-X2.jpg
1269613617900001251,ACEH,ACEH TENGGARA,LAWE SUMUR,LAWE SUMUR,TPS 1,2019-10-24 05:00:04,22,220,301,243,243,242,1,https://pemilu2019.kpu.go.id/img/c/900/001/900001251/1-617-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/001/900001251/1-617-1-C1-PPWP-02.jpg
