id,provinsi,kabupaten,kecamatan,kelurahan,tps,timestamp,pemilih-1,pemilih-2,total-pemilih,total-pengguna,suara-total,suara-sah,suara-tidak-sah,c1-1,c1-2
1651865796580900014535,ACEH,KOTA LHOKSEUMAWE,MUARA SATU,BATUPHAT BARAT,TPS 01,2019-10-25 05:00:03,20,196,304,220,220,216,4,https://pemilu2019.kpu.go.id/img/c/900/014/900014535/6580-01-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/014/900014535/6580-01-C1-PPWP-X2.jpg
1651865796580900014536,ACEH,KOTA LHOKSEUMAWE,MUARA SATU,BATUPHAT BARAT,TPS 02,2019-10-25 05:00:03,19,155,290,177,177,174,3,https://pemilu2019.kpu.go.id/img/c/900/014/900014536/6580-02-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/014/900014536/6580-02-C1-PPWP-X2.jpg
1651865796580900014537,ACEH,KOTA LHOKSEUMAWE,MUARA SATU,BATUPHAT BARAT,TPS 03,2019-10-25 05:00:03,21,169,283,196,196,190,6,https://pemilu2019.kpu.go.id/img/c/900/014/900014537/6580-03-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/014/900014537/6580-03-C1-PPWP-X2.jpg
1651865796580900014538,ACEH,KOTA LHOKSEUMAWE,MUARA SATU,BATUPHAT BARAT,TPS 04,2019-10-25 05:00:03,9,188,288,202,202,197,5,https://pemilu2019.kpu.go.id/img/c/900/014/900014538/6580-04-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/014/900014538/6580-04-C1-PPWP-X2.jpg
1651865796580900014539,ACEH,KOTA LHOKSEUMAWE,MUARA SATU,BATUPHAT BARAT,TPS 05,2019-10-25 05:00:03,17,200,286,221,221,217,4,https://pemilu2019.kpu.go.id/img/c/900/014/900014539/6580-05-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/014/900014539/6580-05-C1-PPWP-X2.jpg
1651865796580900014540,ACEH,KOTA LHOKSEUMAWE,MUARA SATU,BATUPHAT BARAT,TPS 06,2019-10-25 05:00:03,32,154,287,186,189,186,3,https://pemilu2019.kpu.go.id/img/c/900/014/900014540/6580-06-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/014/900014540/6580-06-C1-PPWP-X2.jpg
1651865796580900014541,ACEH,KOTA LHOKSEUMAWE,MUARA SATU,BATUPHAT BARAT,TPS 07,2019-10-25 05:00:03,14,179,293,197,197,193,4,https://pemilu2019.kpu.go.id/img/c/900/014/900014541/6580-07-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/014/900014541/6580-07-C1-PPWP-X2.jpg
1651865796580900014542,ACEH,KOTA LHOKSEUMAWE,MUARA SATU,BATUPHAT BARAT,TPS 08,2019-10-25 05:00:03,19,157,283,176,178,176,2,https://pemilu2019.kpu.go.id/img/c/900/014/900014542/6580-08-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/014/900014542/6580-08-C1-PPWP-X2.jpg
1651865796580900014543,ACEH,KOTA LHOKSEUMAWE,MUARA SATU,BATUPHAT BARAT,TPS 09,2019-10-25 05:00:03,12,175,286,191,191,185,4,https://pemilu2019.kpu.go.id/img/c/900/014/900014543/6580-09-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/014/900014543/6580-09-C1-PPWP-X2.jpg
1651865796580900014544,ACEH,KOTA LHOKSEUMAWE,MUARA SATU,BATUPHAT BARAT,TPS 10,2019-10-25 05:00:03,9,121,288,130,130,130,0,https://pemilu2019.kpu.go.id/img/c/900/014/900014544/6580-10-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/014/900014544/6580-10-C1-PPWP-X2.jpg
1651865796580900014545,ACEH,KOTA LHOKSEUMAWE,MUARA SATU,BATUPHAT BARAT,TPS 11,2019-10-25 05:00:03,11,153,293,164,164,164,0,https://pemilu2019.kpu.go.id/img/c/900/014/900014545/6580-11-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/014/900014545/6580-11-C1-PPWP-X2.jpg
