id,provinsi,kabupaten,kecamatan,kelurahan,tps,timestamp,pemilih-1,pemilih-2,total-pemilih,total-pengguna,suara-total,suara-sah,suara-tidak-sah,c1-1,c1-2
1149217531776900003704,ACEH,ACEH BARAT,WOYLA BARAT,ALUE KEUMUNING,TPS 1,2019-10-21 23:00:03,30,124,196,163,163,154,9,https://pemilu2019.kpu.go.id/img/c/900/003/900003704/1-1776-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/003/900003704/1-1776-1-C-XXX-X6.jpg
1149217531776900003705,ACEH,ACEH BARAT,WOYLA BARAT,ALUE KEUMUNING,TPS 2,2019-10-21 23:00:03,41,95,177,139,139,136,3,https://pemilu2019.kpu.go.id/img/c/900/003/900003705/1-1776-2-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/003/900003705/1-1776-2-C-XXX-X6.jpg
1149217531761900003685,ACEH,ACEH BARAT,WOYLA BARAT,ALUE LEUHOB,TPS 1,2019-10-21 23:00:03,11,113,134,126,126,124,2,https://pemilu2019.kpu.go.id/img/c/900/003/900003685/1-1761-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/003/900003685/1-1761-1-C-XXX-X6.jpg
1149217531767900003692,ACEH,ACEH BARAT,WOYLA BARAT,ALUE PERMEN,TPS 1,2019-10-21 23:00:03,13,202,235,223,223,215,8,https://pemilu2019.kpu.go.id/img/c/900/003/900003692/1767-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/003/900003692/1767-1-C-XXX-X6.jpg
1149217531759900003683,ACEH,ACEH BARAT,WOYLA BARAT,BLANG COT MAMEH,TPS 1,2019-10-21 23:00:03,24,109,150,142,142,133,9,https://pemilu2019.kpu.go.id/img/c/900/003/900003683/1-1759-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/003/900003683/1-1759-1-C-XXX-X6.jpg
1149217531760900003684,ACEH,ACEH BARAT,WOYLA BARAT,BLANG COT RUBEK,TPS 1,2019-10-21 23:00:03,12,117,136,132,132,129,3,https://pemilu2019.kpu.go.id/img/c/900/003/900003684/1-1760-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/003/900003684/1-1760-1-C-XXX-X6.jpg
1149217531754900003676,ACEH,ACEH BARAT,WOYLA BARAT,BLANG LUAH,TPS 1,2019-10-21 23:00:03,6,171,190,178,178,177,1,https://pemilu2019.kpu.go.id/img/c/900/003/900003676/1-1754-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/003/900003676/1-1754-1-C-XXX-X6.jpg
1149217531754900003677,ACEH,ACEH BARAT,WOYLA BARAT,BLANG LUAH,TPS 2,2019-10-21 23:00:03,8,165,194,176,176,173,3,https://pemilu2019.kpu.go.id/img/c/900/003/900003677/1-1754-2-C-XXX-X35.jpg,https://pemilu2019.kpu.go.id/img/c/900/003/900003677/1-1754-2-C-XXX-X36.jpg
1149217531764900003688,ACEH,ACEH BARAT,WOYLA BARAT,COT LAGAN LM,TPS 1,2019-10-21 23:00:03,28,137,181,168,168,165,3,https://pemilu2019.kpu.go.id/img/c/900/003/900003688/1-1764-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/003/900003688/1-1764-1-C-XXX-X6.jpg
1149217531764900003689,ACEH,ACEH BARAT,WOYLA BARAT,COT LAGAN LM,TPS 2,2019-10-21 23:00:03,14,144,177,161,161,158,3,https://pemilu2019.kpu.go.id/img/c/900/003/900003689/1-1764-2-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/003/900003689/1-1764-2-C-XXX-X6.jpg
1149217531755900003678,ACEH,ACEH BARAT,WOYLA BARAT,COT RAMBONG,TPS 1,2019-10-21 23:00:03,28,152,194,185,185,180,5,https://pemilu2019.kpu.go.id/img/c/900/003/900003678/1-1755-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/003/900003678/1-1755-1-C-XXX-X6.jpg
1149217531773900003701,ACEH,ACEH BARAT,WOYLA BARAT,IE SAYANG,TPS 1,2019-10-21 23:00:03,16,136,163,156,156,152,4,https://pemilu2019.kpu.go.id/img/c/900/003/900003701/1-1773-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/003/900003701/1-1773-1-C-XXX-X6.jpg
1149217531772900003699,ACEH,ACEH BARAT,WOYLA BARAT,KARAK,TPS 1,2019-10-21 23:00:03,25,207,275,239,239,232,7,https://pemilu2019.kpu.go.id/img/c/900/003/900003699/1-1772-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/003/900003699/1-1772-1-C-XXX-X6.jpg
1149217531772900003700,ACEH,ACEH BARAT,WOYLA BARAT,KARAK,TPS 2,2019-10-21 23:00:03,31,159,216,194,194,190,4,https://pemilu2019.kpu.go.id/img/c/900/003/900003700/1-1772-2-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/003/900003700/1-1772-2-C-XXX-X6.jpg
1149217531766900003691,ACEH,ACEH BARAT,WOYLA BARAT,KULAM KAJU,TPS 1,2019-10-21 23:00:03,37,119,166,157,157,156,1,https://pemilu2019.kpu.go.id/img/c/900/003/900003691/1-1766-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/003/900003691/1-1766-1-C-XXX-X6.jpg
1149217531762900003686,ACEH,ACEH BARAT,WOYLA BARAT,LEUBOK PASI ARA,TPS 1,2019-10-21 23:00:03,31,210,262,247,247,241,6,https://pemilu2019.kpu.go.id/img/c/900/003/900003686/1-1762-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/003/900003686/1-1762-1-C-XXX-X6.jpg
1149217531756900003679,ACEH,ACEH BARAT,WOYLA BARAT,LHOK MALEE,TPS 1,2019-10-21 23:00:03,25,119,156,144,144,144,0,https://pemilu2019.kpu.go.id/img/c/900/003/900003679/2-1756-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/003/900003679/2-1756-1-C-XXX-X6.jpg
1149217531765900003690,ACEH,ACEH BARAT,WOYLA BARAT,LUENG BARO,TPS 1,2019-10-21 23:00:03,11,209,246,223,223,220,3,https://pemilu2019.kpu.go.id/img/c/900/003/900003690/1-1765-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/003/900003690/1-1765-1-C-XXX-X6.jpg
1149217531770900003695,ACEH,ACEH BARAT,WOYLA BARAT,MON PASONG,TPS 1,2019-10-21 23:00:03,17,168,210,188,188,185,3,https://pemilu2019.kpu.go.id/img/c/900/003/900003695/1-1770-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/003/900003695/1-1770-1-C-XXX-X6.jpg
1149217531770900003696,ACEH,ACEH BARAT,WOYLA BARAT,MON PASONG,TPS 2,2019-10-21 23:00:03,20,163,207,186,186,183,3,https://pemilu2019.kpu.go.id/img/c/900/003/900003696/1-1770-2-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/003/900003696/1-1770-2-C-XXX-X6.jpg
