id,provinsi,kabupaten,kecamatan,kelurahan,tps,timestamp,pemilih-1,pemilih-2,total-pemilih,total-pengguna,suara-total,suara-sah,suara-tidak-sah,c1-1,c1-2
1320534473452900006875,ACEH,ACEH UTARA,MUARA BATU,COT SEURANI,TPS 1,2019-10-24 11:00:06,16,174,277,193,193,190,3,https://pemilu2019.kpu.go.id/img/c/900/006/900006875/2-3452-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006875/2-3452-1-C-XXX-X6.jpg
1320534473452900006876,ACEH,ACEH UTARA,MUARA BATU,COT SEURANI,TPS 2,2019-10-24 11:00:06,6,187,285,197,197,193,4,https://pemilu2019.kpu.go.id/img/c/900/006/900006876/2-3452-2-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006876/2-3452-2-C-XXX-X6.jpg
1320534473452900006877,ACEH,ACEH UTARA,MUARA BATU,COT SEURANI,TPS 3,2019-10-24 11:00:06,14,162,178,268,178,176,2,https://pemilu2019.kpu.go.id/img/c/900/006/900006877/1-3452-3-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006877/1-3452-3-C-XXX-X6.jpg
1320534473452900006878,ACEH,ACEH UTARA,MUARA BATU,COT SEURANI,TPS 4,2019-10-24 11:00:06,10,159,267,169,171,169,2,https://pemilu2019.kpu.go.id/img/c/900/006/900006878/2-3452-4-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006878/2-3452-4-C-XXX-X6.jpg
1320534473452900006879,ACEH,ACEH UTARA,MUARA BATU,COT SEURANI,TPS 5,2019-10-24 11:00:06,14,177,259,233,233,191,42,https://pemilu2019.kpu.go.id/img/c/900/006/900006879/2-3452-5-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006879/2-3452-5-C-XXX-X6.jpg
1320534473452900006880,ACEH,ACEH UTARA,MUARA BATU,COT SEURANI,TPS 6,2019-10-24 11:00:06,10,201,298,237,214,211,3,https://pemilu2019.kpu.go.id/img/c/900/006/900006880/2-3452-6-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006880/2-3452-6-C-XXX-X6.jpg
1320534473466900006922,ACEH,ACEH UTARA,MUARA BATU,COT TRUENG,TPS 1,2019-10-24 11:00:06,7,153,230,165,165,160,5,https://pemilu2019.kpu.go.id/img/c/900/006/900006922/2-3466-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006922/2-3466-1-C-XXX-X6.jpg
1320534473466900006923,ACEH,ACEH UTARA,MUARA BATU,COT TRUENG,TPS 2,2019-10-24 11:00:06,3,169,237,180,180,172,8,https://pemilu2019.kpu.go.id/img/c/900/006/900006923/1-3466-2-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006923/1-3466-2-C-XXX-X6.jpg
1320534473466900006924,ACEH,ACEH UTARA,MUARA BATU,COT TRUENG,TPS 3,2019-10-24 11:00:06,7,159,248,166,166,166,0,https://pemilu2019.kpu.go.id/img/c/900/006/900006924/1-3466-3-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006924/1-3466-3-C-XXX-X6.jpg
1320534473466900006925,ACEH,ACEH UTARA,MUARA BATU,COT TRUENG,TPS 4,2019-10-24 11:00:06,9,157,235,175,175,166,9,https://pemilu2019.kpu.go.id/img/c/900/006/900006925/2-3466-4-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006925/2-3466-4-C-XXX-X6.jpg
1320534473466900006926,ACEH,ACEH UTARA,MUARA BATU,COT TRUENG,TPS 5,2019-10-24 11:00:06,10,171,242,185,185,181,4,https://pemilu2019.kpu.go.id/img/c/900/006/900006926/2-3466-5-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006926/2-3466-5-C-XXX-X6.jpg
1320534473466900006927,ACEH,ACEH UTARA,MUARA BATU,COT TRUENG,TPS 6,2019-10-24 11:00:06,8,180,273,194,194,188,6,https://pemilu2019.kpu.go.id/img/c/900/006/900006927/2-3466-6-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006927/2-3466-6-C-XXX-X6.jpg
1320534473467900006928,ACEH,ACEH UTARA,MUARA BATU,DAKUTA,TPS 1,2019-10-24 11:00:06,15,158,280,174,174,173,1,https://pemilu2019.kpu.go.id/img/c/900/006/900006928/1-3467-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006928/1-3467-1-C-XXX-X6.jpg
1320534473467900006929,ACEH,ACEH UTARA,MUARA BATU,DAKUTA,TPS 2,2019-10-24 11:00:06,26,170,279,202,202,196,6,https://pemilu2019.kpu.go.id/img/c/900/006/900006929/1-3467-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006929/1-3467-2-C1-PPWP-X2.jpg
1320534473467900006930,ACEH,ACEH UTARA,MUARA BATU,DAKUTA,TPS 3,2019-10-24 11:00:06,11,198,271,214,214,209,5,https://pemilu2019.kpu.go.id/img/c/900/006/900006930/1-3467-3-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006930/1-3467-3-C-XXX-X6.jpg
1320534473467900006931,ACEH,ACEH UTARA,MUARA BATU,DAKUTA,TPS 4,2019-10-24 11:00:06,17,169,256,192,192,186,6,https://pemilu2019.kpu.go.id/img/c/900/006/900006931/1-3467-4-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006931/1-3467-4-C-XXX-X6.jpg
1320534473467900006932,ACEH,ACEH UTARA,MUARA BATU,DAKUTA,TPS 5,2019-10-24 11:00:06,10,181,258,197,197,191,6,https://pemilu2019.kpu.go.id/img/c/900/006/900006932/1-3467-5-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006932/1-3467-5-C-XXX-X6.jpg
1320534473463900006911,ACEH,ACEH UTARA,MUARA BATU,KAMBAM,TPS 1,2019-10-24 11:00:06,3,200,252,205,205,203,2,https://pemilu2019.kpu.go.id/img/c/900/006/900006911/1-3463-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006911/1-3463-1-C-XXX-X6.jpg
1320534473463900006912,ACEH,ACEH UTARA,MUARA BATU,KAMBAM,TPS 2,2019-10-24 11:00:06,7,202,272,216,216,209,7,https://pemilu2019.kpu.go.id/img/c/900/006/900006912/1-3463-2-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006912/1-3463-2-C-XXX-X6.jpg
1320534473462900006906,ACEH,ACEH UTARA,MUARA BATU,KEUDE BUNGKAIH,TPS 1,2019-10-24 11:00:06,15,191,287,212,212,206,6,https://pemilu2019.kpu.go.id/img/c/900/006/900006906/1-3462-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006906/1-3462-1-C-XXX-X6.jpg
1320534473462900006907,ACEH,ACEH UTARA,MUARA BATU,KEUDE BUNGKAIH,TPS 2,2019-10-24 11:00:06,7,168,251,180,180,175,5,https://pemilu2019.kpu.go.id/img/c/900/006/900006907/1-3462-2-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006907/1-3462-2-C-XXX-X6.jpg
1320534473462900006908,ACEH,ACEH UTARA,MUARA BATU,KEUDE BUNGKAIH,TPS 3,2019-10-24 11:00:06,8,213,270,222,222,221,1,https://pemilu2019.kpu.go.id/img/c/900/006/900006908/1-3462-3-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006908/1-3462-3-C-XXX-X6.jpg
1320534473462900006909,ACEH,ACEH UTARA,MUARA BATU,KEUDE BUNGKAIH,TPS 4,2019-10-24 11:00:06,5,185,251,195,195,190,5,https://pemilu2019.kpu.go.id/img/c/900/006/900006909/1-3462-4-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006909/1-3462-4-C-XXX-X6.jpg
1320534473462900006910,ACEH,ACEH UTARA,MUARA BATU,KEUDE BUNGKAIH,TPS 5,2019-10-24 11:00:06,8,203,276,218,218,211,7,https://pemilu2019.kpu.go.id/img/c/900/006/900006910/1-3462-5-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006910/1-3462-5-C1-PPWP-X2.jpg
1320534473448900006860,ACEH,ACEH UTARA,MUARA BATU,KEUDE MANE,TPS 1,2019-10-24 11:00:06,6,140,232,149,149,146,3,https://pemilu2019.kpu.go.id/img/c/900/006/900006860/1-3448-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006860/1-3448-1-C-XXX-X6.jpg
1320534473448900006861,ACEH,ACEH UTARA,MUARA BATU,KEUDE MANE,TPS 2,2019-10-24 11:00:06,2,202,233,206,206,204,2,https://pemilu2019.kpu.go.id/img/c/900/006/900006861/1-3448-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/006/900006861/1-3448-2-C1-PPWP-X2.jpg
