id,provinsi,kabupaten,kecamatan,kelurahan,tps,timestamp,pemilih-1,pemilih-2,total-pemilih,total-pengguna,suara-total,suara-sah,suara-tidak-sah,c1-1,c1-2
6728949795309538900034247,SUMATERA UTARA,ASAHAN,SIMPANG EMPAT,ANJUNG GANJANG,TPS 1,2019-10-25 11:00:05,58,107,248,166,166,165,1,https://pemilu2019.kpu.go.id/img/c/900/034/900034247/1-9538-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/034/900034247/1-9538-1-C-XXX-X6.jpg
6728949795309538900034248,SUMATERA UTARA,ASAHAN,SIMPANG EMPAT,ANJUNG GANJANG,TPS 2,2019-10-25 11:00:05,53,136,239,192,192,189,3,https://pemilu2019.kpu.go.id/img/c/900/034/900034248/1-9538-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/034/900034248/1-9538-2-C1-PPWP-X2.jpg
6728949795309538900034249,SUMATERA UTARA,ASAHAN,SIMPANG EMPAT,ANJUNG GANJANG,TPS 3,2019-10-25 11:00:05,144,15,244,159,159,159,0,https://pemilu2019.kpu.go.id/img/c/900/034/900034249/4-9538-3-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/034/900034249/4-9538-3-C1-PPWP-X2.jpg
6728949795309538900034250,SUMATERA UTARA,ASAHAN,SIMPANG EMPAT,ANJUNG GANJANG,TPS 4,2019-10-25 11:00:05,184,11,299,199,199,195,4,https://pemilu2019.kpu.go.id/img/c/900/034/900034250/1-9538-4-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/034/900034250/1-9538-4-C-XXX-X6.jpg
6728949795309538900034251,SUMATERA UTARA,ASAHAN,SIMPANG EMPAT,ANJUNG GANJANG,TPS 5,2019-10-25 11:00:05,98,113,301,215,215,211,4,https://pemilu2019.kpu.go.id/img/c/900/034/900034251/1-9538-5-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/034/900034251/1-9538-5-C1-PPWP-X2.jpg
6728949795309532900034138,SUMATERA UTARA,ASAHAN,SIMPANG EMPAT,PERKEBUNAN HESSA,TPS 1,2019-10-25 11:00:05,58,135,312,204,204,193,11,https://pemilu2019.kpu.go.id/img/c/900/034/900034138/1-9532-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/034/900034138/1-9532-1-C-XXX-X6.jpg
6728949795309532900034139,SUMATERA UTARA,ASAHAN,SIMPANG EMPAT,PERKEBUNAN HESSA,TPS 2,2019-10-25 11:00:05,74,70,243,152,152,144,8,https://pemilu2019.kpu.go.id/img/c/900/034/900034139/9532-2-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/034/900034139/9532-2-C-XXX-X6.jpg
6728949795309532900034140,SUMATERA UTARA,ASAHAN,SIMPANG EMPAT,PERKEBUNAN HESSA,TPS 3,2019-10-25 11:00:05,120,86,308,211,211,206,5,https://pemilu2019.kpu.go.id/img/c/900/034/900034140/2-9532-3-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/034/900034140/2-9532-3-C-XXX-X6.jpg
6728949795309532900034141,SUMATERA UTARA,ASAHAN,SIMPANG EMPAT,PERKEBUNAN HESSA,TPS 4,2019-10-25 11:00:05,65,93,194,159,159,158,1,https://pemilu2019.kpu.go.id/img/c/900/034/900034141/9532-4-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/034/900034141/9532-4-C-XXX-X6.jpg
6728949795309532900034142,SUMATERA UTARA,ASAHAN,SIMPANG EMPAT,PERKEBUNAN HESSA,TPS 5,2019-10-25 11:00:05,42,46,115,88,88,88,0,https://pemilu2019.kpu.go.id/img/c/900/034/900034142/9532-5-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/034/900034142/9532-5-C-XXX-X6.jpg
