id,provinsi,kabupaten,kecamatan,kelurahan,tps,timestamp,pemilih-1,pemilih-2,total-pemilih,total-pengguna,suara-total,suara-sah,suara-tidak-sah,c1-1,c1-2
1269369392900000883,ACEH,ACEH TENGGARA,BABUSSALAM,ALAS MERANCAR,TPS 1,2019-10-24 05:00:04,33,154,215,189,189,187,2,https://pemilu2019.kpu.go.id/img/c/900/000/900000883/392-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000883/392-1-C1-PPWP-X2.jpg
1269369392900000884,ACEH,ACEH TENGGARA,BABUSSALAM,ALAS MERANCAR,TPS 2,2019-10-24 05:00:04,29,142,190,174,174,171,3,https://pemilu2019.kpu.go.id/img/c/900/000/900000884/392-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000884/392-2-C1-PPWP-X2.jpg
1269369375900000828,ACEH,ACEH TENGGARA,BABUSSALAM,BATU MBULAN ASLI,TPS 1,2019-10-24 05:00:04,2,295,318,318,318,297,21,https://pemilu2019.kpu.go.id/img/c/900/000/900000828/1-375-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000828/1-375-1-C1-PPWP-X2.jpg
1269369375900000829,ACEH,ACEH TENGGARA,BABUSSALAM,BATU MBULAN ASLI,TPS 2,2019-10-24 05:00:04,5,274,286,291,291,279,12,https://pemilu2019.kpu.go.id/img/c/900/000/900000829/1-375-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000829/1-375-2-C1-PPWP-X2.jpg
1269369375900000830,ACEH,ACEH TENGGARA,BABUSSALAM,BATU MBULAN ASLI,TPS 3,2019-10-24 05:00:04,4,284,285,285,284,0,4,https://pemilu2019.kpu.go.id/img/c/900/000/900000830/1-375-3-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000830/1-375-3-C1-PPWP-02.jpg
1269369375900000831,ACEH,ACEH TENGGARA,BABUSSALAM,BATU MBULAN ASLI,TPS 4,2019-10-24 05:00:04,4,273,286,286,286,0,12,https://pemilu2019.kpu.go.id/img/c/900/000/900000831/1-375-4-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000831/1-375-4-C1-PPWP-X2.jpg
1269369386900000869,ACEH,ACEH TENGGARA,BABUSSALAM,BATU MBULAN BARU,TPS 1,2019-10-24 05:00:04,14,131,154,147,147,145,2,https://pemilu2019.kpu.go.id/img/c/900/000/900000869/386-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000869/386-1-C1-PPWP-X2.jpg
1269369386900000870,ACEH,ACEH TENGGARA,BABUSSALAM,BATU MBULAN BARU,TPS 2,2019-10-24 05:00:04,12,130,159,144,144,142,2,https://pemilu2019.kpu.go.id/img/c/900/000/900000870/386-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000870/386-2-C1-PPWP-X2.jpg
1269369376900000832,ACEH,ACEH TENGGARA,BABUSSALAM,BATU MBULAN I,TPS 1,2019-10-24 05:00:04,7,217,248,227,227,224,3,https://pemilu2019.kpu.go.id/img/c/900/000/900000832/1-376-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000832/1-376-1-C1-PPWP-X2.jpg
1269369376900000833,ACEH,ACEH TENGGARA,BABUSSALAM,BATU MBULAN I,TPS 2,2019-10-24 05:00:04,6,226,251,234,234,232,2,https://pemilu2019.kpu.go.id/img/c/900/000/900000833/1-376-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000833/1-376-2-C1-PPWP-X2.jpg
1269369377900000834,ACEH,ACEH TENGGARA,BABUSSALAM,BATU MBULAN II,TPS 1,2019-10-24 05:00:04,4,164,179,179,169,168,1,https://pemilu2019.kpu.go.id/img/c/900/000/900000834/377-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000834/377-1-C1-PPWP-X2.jpg
1269369377900000835,ACEH,ACEH TENGGARA,BABUSSALAM,BATU MBULAN II,TPS 2,2019-10-24 05:00:04,5,160,163,163,166,165,1,https://pemilu2019.kpu.go.id/img/c/900/000/900000835/377-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000835/377-2-C1-PPWP-X2.jpg
1269369393900000885,ACEH,ACEH TENGGARA,BABUSSALAM,BATU MBULAN SEPAKAT,TPS 1,2019-10-24 05:00:04,9,127,148,148,138,136,2,https://pemilu2019.kpu.go.id/img/c/900/000/900000885/393-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000885/393-1-C1-PPWP-X2.jpg
1269369393900000886,ACEH,ACEH TENGGARA,BABUSSALAM,BATU MBULAN SEPAKAT,TPS 2,2019-10-24 05:00:04,13,113,143,130,129,126,3,https://pemilu2019.kpu.go.id/img/c/900/000/900000886/393-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000886/393-2-C1-PPWP-X2.jpg
1269369383900000857,ACEH,ACEH TENGGARA,BABUSSALAM,GUMPANG JAYA,TPS 1,2019-10-24 05:00:04,11,150,168,161,161,161,0,https://pemilu2019.kpu.go.id/img/c/900/000/900000857/1-383-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000857/1-383-1-C1-PPWP-X2.jpg
1269369383900000858,ACEH,ACEH TENGGARA,BABUSSALAM,GUMPANG JAYA,TPS 2,2019-10-24 05:00:04,3,175,192,178,190,178,0,https://pemilu2019.kpu.go.id/img/c/900/000/900000858/1-383-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000858/1-383-2-C1-PPWP-X2.jpg
1269369380900000847,ACEH,ACEH TENGGARA,BABUSSALAM,KAMPUNG MELAYU GABUNGAN,TPS 1,2019-10-24 05:00:04,9,120,149,132,132,129,3,https://pemilu2019.kpu.go.id/img/c/900/000/900000847/1-380-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000847/1-380-1-C1-PPWP-X2.jpg
1269369380900000848,ACEH,ACEH TENGGARA,BABUSSALAM,KAMPUNG MELAYU GABUNGAN,TPS 2,2019-10-24 05:00:04,16,136,169,154,154,152,2,https://pemilu2019.kpu.go.id/img/c/900/000/900000848/1-380-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000848/1-380-2-C1-PPWP-X2.jpg
