id,provinsi,kabupaten,kecamatan,kelurahan,tps,timestamp,pemilih-1,pemilih-2,total-pemilih,total-pengguna,suara-total,suara-sah,suara-tidak-sah,c1-1,c1-2
12212217900000492,ACEH,ACEH SELATAN,TRUMON TIMUR,ALUE BUJOK,TPS 1,2019-10-24 05:00:04,11,90,117,107,107,101,6,https://pemilu2019.kpu.go.id/img/c/900/000/900000492/1-217-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000492/1-217-1-C1-PPWP-X2.jpg
12212219900000494,ACEH,ACEH SELATAN,TRUMON TIMUR,JAMBO DALEM,TPS 1,2019-10-24 05:00:04,23,226,299,254,254,249,5,https://pemilu2019.kpu.go.id/img/c/900/000/900000494/1-219-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000494/1-219-1-C1-PPWP-X2.jpg
12212219900000495,ACEH,ACEH SELATAN,TRUMON TIMUR,JAMBO DALEM,TPS 2,2019-10-24 05:00:04,31,215,272,251,251,246,5,https://pemilu2019.kpu.go.id/img/c/900/000/900000495/1-219-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000495/1-219-2-C1-PPWP-X2.jpg
12212219900000496,ACEH,ACEH SELATAN,TRUMON TIMUR,JAMBO DALEM,TPS 3,2019-10-24 05:00:04,27,209,283,246,246,236,10,https://pemilu2019.kpu.go.id/img/c/900/000/900000496/1-219-3-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000496/1-219-3-C1-PPWP-X2.jpg
12212219900000497,ACEH,ACEH SELATAN,TRUMON TIMUR,JAMBO DALEM,TPS 4,2019-10-24 05:00:04,24,239,292,263,263,263,0,https://pemilu2019.kpu.go.id/img/c/900/000/900000497/1-219-4-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000497/1-219-4-C1-PPWP-X2.jpg
12212220900000498,ACEH,ACEH SELATAN,TRUMON TIMUR,KAPA SEUSAK,TPS 1,2019-10-24 05:00:04,26,218,318,252,252,244,8,https://pemilu2019.kpu.go.id/img/c/900/000/900000498/1-220-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000498/1-220-1-C1-PPWP-X2.jpg
12212220900000499,ACEH,ACEH SELATAN,TRUMON TIMUR,KAPA SEUSAK,TPS 2,2019-10-24 05:00:04,36,215,302,260,260,251,9,https://pemilu2019.kpu.go.id/img/c/900/000/900000499/1-220-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000499/1-220-2-C1-PPWP-X2.jpg
12212220900000500,ACEH,ACEH SELATAN,TRUMON TIMUR,KAPA SEUSAK,TPS 3,2019-10-24 05:00:04,22,207,275,237,237,229,8,https://pemilu2019.kpu.go.id/img/c/900/000/900000500/1-220-3-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000500/1-220-3-C1-PPWP-X2.jpg
12212220900000501,ACEH,ACEH SELATAN,TRUMON TIMUR,KAPA SEUSAK,TPS 4,2019-10-24 05:00:04,39,192,277,242,242,231,11,https://pemilu2019.kpu.go.id/img/c/900/000/900000501/1-220-4-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000501/1-220-4-C1-PPWP-X2.jpg
12212214900000484,ACEH,ACEH SELATAN,TRUMON TIMUR,KRUENG LUAS,TPS 1,2019-10-24 05:00:04,34,204,314,248,248,238,10,https://pemilu2019.kpu.go.id/img/c/900/000/900000484/1-214-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000484/1-214-1-C1-PPWP-X2.jpg
12212214900000485,ACEH,ACEH SELATAN,TRUMON TIMUR,KRUENG LUAS,TPS 2,2019-10-24 05:00:04,21,202,282,230,230,223,7,https://pemilu2019.kpu.go.id/img/c/900/000/900000485/1-214-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000485/1-214-2-C1-PPWP-X2.jpg
12212214900000486,ACEH,ACEH SELATAN,TRUMON TIMUR,KRUENG LUAS,TPS 3,2019-10-24 05:00:04,17,205,280,232,232,222,10,https://pemilu2019.kpu.go.id/img/c/900/000/900000486/1-214-3-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000486/1-214-3-C1-PPWP-X2.jpg
12212214900000487,ACEH,ACEH SELATAN,TRUMON TIMUR,KRUENG LUAS,TPS 4,2019-10-24 05:00:04,21,220,291,248,248,241,7,https://pemilu2019.kpu.go.id/img/c/900/000/900000487/1-214-4-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/000/900000487/1-214-4-C1-PPWP-X2.jpg
