id,provinsi,kabupaten,kecamatan,kelurahan,tps,timestamp,pemilih-1,pemilih-2,total-pemilih,total-pengguna,suara-total,suara-sah,suara-tidak-sah,c1-1,c1-2
167111191125900002396,ACEH,ACEH TIMUR,PEUREULAK BARAT,ALUE BU JALAN,TPS 1,2019-10-24 05:00:04,13,145,283,162,162,158,4,https://pemilu2019.kpu.go.id/img/c/900/002/900002396/2-1125-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/002/900002396/2-1125-1-C1-PPWP-X2.jpg
167111191125900002397,ACEH,ACEH TIMUR,PEUREULAK BARAT,ALUE BU JALAN,TPS 2,2019-10-24 05:00:04,14,159,292,174,174,173,1,https://pemilu2019.kpu.go.id/img/c/900/002/900002397/2-1125-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/002/900002397/2-1125-2-C1-PPWP-X2.jpg
167111191125900002398,ACEH,ACEH TIMUR,PEUREULAK BARAT,ALUE BU JALAN,TPS 3,2019-10-24 05:00:04,12,163,286,178,178,175,3,https://pemilu2019.kpu.go.id/img/c/900/002/900002398/2-1125-3-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/002/900002398/2-1125-3-C1-PPWP-X2.jpg
167111191125900002399,ACEH,ACEH TIMUR,PEUREULAK BARAT,ALUE BU JALAN,TPS 4,2019-10-24 05:00:04,5,70,160,79,79,75,4,https://pemilu2019.kpu.go.id/img/c/900/002/900002399/2-1125-4-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/002/900002399/2-1125-4-C1-PPWP-X2.jpg
167111191133900002420,ACEH,ACEH TIMUR,PEUREULAK BARAT,ALUE BU JALAN BAROH,TPS 1,2019-10-24 05:00:04,18,157,282,188,188,175,13,https://pemilu2019.kpu.go.id/img/c/900/002/900002420/2-1133-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/002/900002420/2-1133-1-C1-PPWP-X2.jpg
167111191133900002421,ACEH,ACEH TIMUR,PEUREULAK BARAT,ALUE BU JALAN BAROH,TPS 2,2019-10-24 05:00:04,17,148,272,176,176,165,11,https://pemilu2019.kpu.go.id/img/c/900/002/900002421/3-1133-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/002/900002421/3-1133-2-C1-PPWP-X2.jpg
167111191133900002422,ACEH,ACEH TIMUR,PEUREULAK BARAT,ALUE BU JALAN BAROH,TPS 3,2019-10-24 05:00:04,4,117,213,127,127,121,6,https://pemilu2019.kpu.go.id/img/c/900/002/900002422/3-1133-3-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/002/900002422/3-1133-3-C1-PPWP-X2.jpg
167111191124900002393,ACEH,ACEH TIMUR,PEUREULAK BARAT,ALUE BU TUHA,TPS 1,2019-10-24 05:00:04,14,183,265,209,209,197,12,https://pemilu2019.kpu.go.id/img/c/900/002/900002393/2-1124-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/002/900002393/2-1124-1-C1-PPWP-X2.jpg
167111191124900002394,ACEH,ACEH TIMUR,PEUREULAK BARAT,ALUE BU TUHA,TPS 2,2019-10-24 05:00:04,20,140,241,163,163,160,3,https://pemilu2019.kpu.go.id/img/c/900/002/900002394/2-1124-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/002/900002394/2-1124-2-C1-PPWP-X2.jpg
167111191124900002395,ACEH,ACEH TIMUR,PEUREULAK BARAT,ALUE BU TUHA,TPS 3,2019-10-24 05:00:04,5,38,206,149,149,143,6,https://pemilu2019.kpu.go.id/img/c/900/002/900002395/2-1124-3-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/002/900002395/2-1124-3-C1-PPWP-X2.jpg
