id,provinsi,kabupaten,kecamatan,kelurahan,tps,timestamp,pemilih-1,pemilih-2,total-pemilih,total-pengguna,suara-total,suara-sah,suara-tidak-sah,c1-1,c1-2
1639764386442900013706,ACEH,KOTA BANDA ACEH,SYIAH KUALA,ALUE NAGA,TPS 1,2019-10-25 05:00:03,19,228,309,253,253,247,6,https://pemilu2019.kpu.go.id/img/c/900/013/900013706/6442-1-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/013/900013706/6442-1-C-XXX-X6.jpg
1639764386442900013707,ACEH,KOTA BANDA ACEH,SYIAH KUALA,ALUE NAGA,TPS 2,2019-10-25 05:00:03,43,185,298,244,244,228,16,https://pemilu2019.kpu.go.id/img/c/900/013/900013707/1-6442-2-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/013/900013707/1-6442-2-C-XXX-X6.jpg
1639764386442900013708,ACEH,KOTA BANDA ACEH,SYIAH KUALA,ALUE NAGA,TPS 3,2019-10-25 05:00:03,33,189,310,237,237,222,15,https://pemilu2019.kpu.go.id/img/c/900/013/900013708/6442-3-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/013/900013708/6442-3-C-XXX-X6.jpg
1639764386442900013709,ACEH,KOTA BANDA ACEH,SYIAH KUALA,ALUE NAGA,TPS 4,2019-10-25 05:00:03,38,171,317,223,223,209,14,https://pemilu2019.kpu.go.id/img/c/900/013/900013709/6442-4-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/013/900013709/6442-4-C-XXX-X6.jpg
1639764386441900013704,ACEH,KOTA BANDA ACEH,SYIAH KUALA,DEYAH RAYA,TPS 1,2019-10-25 05:00:03,34,188,293,238,238,16,222,https://pemilu2019.kpu.go.id/img/c/900/013/900013704/6441-1-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/013/900013704/6441-1-C1-PPWP-X2.jpg
1639764386441900013705,ACEH,KOTA BANDA ACEH,SYIAH KUALA,DEYAH RAYA,TPS 2,2019-10-25 05:00:03,14,218,312,241,241,232,9,https://pemilu2019.kpu.go.id/img/c/900/013/900013705/1-6441-2-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/013/900013705/1-6441-2-C1-PPWP-X2.jpg
1639764386443900013710,ACEH,KOTA BANDA ACEH,SYIAH KUALA,IE MASEN KAYEE ADANG,TPS 01,2019-10-25 05:00:03,17,219,295,239,239,236,3,https://pemilu2019.kpu.go.id/img/c/900/013/900013710/6443-01-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/013/900013710/6443-01-C-XXX-X6.jpg
1639764386443900013711,ACEH,KOTA BANDA ACEH,SYIAH KUALA,IE MASEN KAYEE ADANG,TPS 02,2019-10-25 05:00:03,18,186,293,208,208,204,4,https://pemilu2019.kpu.go.id/img/c/900/013/900013711/1-6443-02-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/013/900013711/1-6443-02-C-XXX-X6.jpg
1639764386443900013712,ACEH,KOTA BANDA ACEH,SYIAH KUALA,IE MASEN KAYEE ADANG,TPS 03,2019-10-25 05:00:03,22,207,303,232,232,229,3,https://pemilu2019.kpu.go.id/img/c/900/013/900013712/2-6443-03-C-XXX-X5.jpg,https://pemilu2019.kpu.go.id/img/c/900/013/900013712/2-6443-03-C-XXX-X6.jpg
1639764386443900013713,ACEH,KOTA BANDA ACEH,SYIAH KUALA,IE MASEN KAYEE ADANG,TPS 04,2019-10-25 05:00:03,26,192,295,219,219,218,1,https://pemilu2019.kpu.go.id/img/c/900/013/900013713/1-6443-04-C1-PPWP-X1.jpg,https://pemilu2019.kpu.go.id/img/c/900/013/900013713/1-6443-04-C1-PPWP-X2.jpg
